id,text,category
1,Car B description line 1 with features on performance and comfort.,long-trip
2,Car C description line 2 with features on performance and comfort.,climate
3,Car D description line 3 with features on performance and comfort.,city
4,Car E description line 4 with features on performance and comfort.,offroad
5,Car F description line 5 with features on performance and comfort.,economy
6,Car G description line 6 with features on performance and comfort.,long-trip
7,Car H description line 7 with features on performance and comfort.,economy
8,Car I description line 8 with features on performance and comfort.,long-trip
9,Car J description line 9 with features on performance and comfort.,city
10,Car K description line 10 with features on performance and comfort.,comfort
11,Car L description line 11 with features on performance and comfort.,long-trip
12,Car M description line 12 with features on performance and comfort.,city
13,Car N description line 13 with features on performance and comfort.,economy
14,Car O description line 14 with features on performance and comfort.,city
15,Car P description line 15 with features on performance and comfort.,economy
16,Car Q description line 16 with features on performance and comfort.,climate
17,Car R description line 17 with features on performance and comfort.,comfort
18,Car S description line 18 with features on performance and comfort.,comfort
19,Car T description line 19 with features on performance and comfort.,city
20,Car U description line 20 with features on performance and comfort.,climate
21,Car V description line 21 with features on performance and comfort.,economy
22,Car W description line 22 with features on performance and comfort.,offroad
23,Car X description line 23 with features on performance and comfort.,comfort
24,Car Y description line 24 with features on performance and comfort.,comfort
25,Car Z description line 25 with features on performance and comfort.,offroad
26,Car A description line 26 with features on performance and comfort.,city
27,Car B description line 27 with features on performance and comfort.,offroad
28,Car C description line 28 with features on performance and comfort.,city
29,Car D description line 29 with features on performance and comfort.,city
30,Car E description line 30 with features on performance and comfort.,long-trip
31,Car F description line 31 with features on performance and comfort.,long-trip
32,Car G description line 32 with features on performance and comfort.,long-trip
33,Car H description line 33 with features on performance and comfort.,long-trip
34,Car I description line 34 with features on performance and comfort.,economy
35,Car J description line 35 with features on performance and comfort.,comfort
36,Car K description line 36 with features on performance and comfort.,city
37,Car L description line 37 with features on performance and comfort.,long-trip
38,Car M description line 38 with features on performance and comfort.,offroad
39,Car N description line 39 with features on performance and comfort.,city
40,Car O description line 40 with features on performance and comfort.,offroad
41,Car P description line 41 with features on performance and comfort.,comfort
42,Car Q description line 42 with features on performance and comfort.,city
43,Car R description line 43 with features on performance and comfort.,economy
44,Car S description line 44 with features on performance and comfort.,offroad
45,Car T description line 45 with features on performance and comfort.,economy
46,Car U description line 46 with features on performance and comfort.,offroad
47,Car V description line 47 with features on performance and comfort.,offroad
48,Car W description line 48 with features on performance and comfort.,comfort
49,Car X description line 49 with features on performance and comfort.,climate
50,Car Y description line 50 with features on performance and comfort.,climate
51,Car Z description line 51 with features on performance and comfort.,long-trip
52,Car A description line 52 with features on performance and comfort.,climate
53,Car B description line 53 with features on performance and comfort.,climate
54,Car C description line 54 with features on performance and comfort.,long-trip
55,Car D description line 55 with features on performance and comfort.,city
56,Car E description line 56 with features on performance and comfort.,offroad
57,Car F description line 57 with features on performance and comfort.,long-trip
58,Car G description line 58 with features on performance and comfort.,economy
59,Car H description line 59 with features on performance and comfort.,economy
60,Car I description line 60 with features on performance and comfort.,economy
61,Car J description line 61 with features on performance and comfort.,comfort
62,Car K description line 62 with features on performance and comfort.,climate
63,Car L description line 63 with features on performance and comfort.,economy
64,Car M description line 64 with features on performance and comfort.,city
65,Car N description line 65 with features on performance and comfort.,climate
66,Car O description line 66 with features on performance and comfort.,climate
67,Car P description line 67 with features on performance and comfort.,offroad
68,Car Q description line 68 with features on performance and comfort.,offroad
69,Car R description line 69 with features on performance and comfort.,city
70,Car S description line 70 with features on performance and comfort.,long-trip
71,Car T description line 71 with features on performance and comfort.,offroad
72,Car U description line 72 with features on performance and comfort.,climate
73,Car V description line 73 with features on performance and comfort.,economy
74,Car W description line 74 with features on performance and comfort.,comfort
75,Car X description line 75 with features on performance and comfort.,offroad
76,Car Y description line 76 with features on performance and comfort.,long-trip
77,Car Z description line 77 with features on performance and comfort.,city
78,Car A description line 78 with features on performance and comfort.,long-trip
79,Car B description line 79 with features on performance and comfort.,city
80,Car C description line 80 with features on performance and comfort.,offroad
81,Car D description line 81 with features on performance and comfort.,climate
82,Car E description line 82 with features on performance and comfort.,city
83,Car F description line 83 with features on performance and comfort.,economy
84,Car G description line 84 with features on performance and comfort.,comfort
85,Car H description line 85 with features on performance and comfort.,climate
86,Car I description line 86 with features on performance and comfort.,economy
87,Car J description line 87 with features on performance and comfort.,offroad
88,Car K description line 88 with features on performance and comfort.,long-trip
89,Car L description line 89 with features on performance and comfort.,long-trip
90,Car M description line 90 with features on performance and comfort.,offroad
91,Car N description line 91 with features on performance and comfort.,offroad
92,Car O description line 92 with features on performance and comfort.,comfort
93,Car P description line 93 with features on performance and comfort.,economy
94,Car Q description line 94 with features on performance and comfort.,offroad
95,Car R description line 95 with features on performance and comfort.,offroad
96,Car S description line 96 with features on performance and comfort.,long-trip
97,Car T description line 97 with features on performance and comfort.,comfort
98,Car U description line 98 with features on performance and comfort.,offroad
99,Car V description line 99 with features on performance and comfort.,economy
100,Car W description line 100 with features on performance and comfort.,long-trip
101,Car X description line 101 with features on performance and comfort.,offroad
102,Car Y description line 102 with features on performance and comfort.,offroad
103,Car Z description line 103 with features on performance and comfort.,comfort
104,Car A description line 104 with features on performance and comfort.,economy
105,Car B description line 105 with features on performance and comfort.,comfort
106,Car C description line 106 with features on performance and comfort.,offroad
107,Car D description line 107 with features on performance and comfort.,climate
108,Car E description line 108 with features on performance and comfort.,offroad
109,Car F description line 109 with features on performance and comfort.,offroad
110,Car G description line 110 with features on performance and comfort.,economy
111,Car H description line 111 with features on performance and comfort.,long-trip
112,Car I description line 112 with features on performance and comfort.,long-trip
113,Car J description line 113 with features on performance and comfort.,climate
114,Car K description line 114 with features on performance and comfort.,long-trip
115,Car L description line 115 with features on performance and comfort.,long-trip
116,Car M description line 116 with features on performance and comfort.,long-trip
117,Car N description line 117 with features on performance and comfort.,long-trip
118,Car O description line 118 with features on performance and comfort.,long-trip
119,Car P description line 119 with features on performance and comfort.,long-trip
120,Car Q description line 120 with features on performance and comfort.,economy
121,Car R description line 121 with features on performance and comfort.,comfort
122,Car S description line 122 with features on performance and comfort.,climate
123,Car T description line 123 with features on performance and comfort.,offroad
124,Car U description line 124 with features on performance and comfort.,offroad
125,Car V description line 125 with features on performance and comfort.,comfort
126,Car W description line 126 with features on performance and comfort.,city
127,Car X description line 127 with features on performance and comfort.,city
128,Car Y description line 128 with features on performance and comfort.,comfort
129,Car Z description line 129 with features on performance and comfort.,comfort
130,Car A description line 130 with features on performance and comfort.,city
131,Car B description line 131 with features on performance and comfort.,city
132,Car C description line 132 with features on performance and comfort.,offroad
133,Car D description line 133 with features on performance and comfort.,city
134,Car E description line 134 with features on performance and comfort.,offroad
135,Car F description line 135 with features on performance and comfort.,climate
136,Car G description line 136 with features on performance and comfort.,city
137,Car H description line 137 with features on performance and comfort.,long-trip
138,Car I description line 138 with features on performance and comfort.,long-trip
139,Car J description line 139 with features on performance and comfort.,long-trip
140,Car K description line 140 with features on performance and comfort.,comfort
141,Car L description line 141 with features on performance and comfort.,comfort
142,Car M description line 142 with features on performance and comfort.,economy
143,Car N description line 143 with features on performance and comfort.,city
144,Car O description line 144 with features on performance and comfort.,economy
145,Car P description line 145 with features on performance and comfort.,economy
146,Car Q description line 146 with features on performance and comfort.,city
147,Car R description line 147 with features on performance and comfort.,offroad
148,Car S description line 148 with features on performance and comfort.,comfort
149,Car T description line 149 with features on performance and comfort.,city
150,Car U description line 150 with features on performance and comfort.,offroad
151,Car V description line 151 with features on performance and comfort.,offroad
152,Car W description line 152 with features on performance and comfort.,economy
153,Car X description line 153 with features on performance and comfort.,offroad
154,Car Y description line 154 with features on performance and comfort.,city
155,Car Z description line 155 with features on performance and comfort.,economy
156,Car A description line 156 with features on performance and comfort.,long-trip
157,Car B description line 157 with features on performance and comfort.,climate
158,Car C description line 158 with features on performance and comfort.,comfort
159,Car D description line 159 with features on performance and comfort.,climate
160,Car E description line 160 with features on performance and comfort.,comfort
161,Car F description line 161 with features on performance and comfort.,offroad
162,Car G description line 162 with features on performance and comfort.,offroad
163,Car H description line 163 with features on performance and comfort.,economy
164,Car I description line 164 with features on performance and comfort.,city
165,Car J description line 165 with features on performance and comfort.,city
166,Car K description line 166 with features on performance and comfort.,comfort
167,Car L description line 167 with features on performance and comfort.,offroad
168,Car M description line 168 with features on performance and comfort.,comfort
169,Car N description line 169 with features on performance and comfort.,economy
170,Car O description line 170 with features on performance and comfort.,offroad
171,Car P description line 171 with features on performance and comfort.,offroad
172,Car Q description line 172 with features on performance and comfort.,long-trip
173,Car R description line 173 with features on performance and comfort.,comfort
174,Car S description line 174 with features on performance and comfort.,city
175,Car T description line 175 with features on performance and comfort.,comfort
176,Car U description line 176 with features on performance and comfort.,economy
177,Car V description line 177 with features on performance and comfort.,climate
178,Car W description line 178 with features on performance and comfort.,comfort
179,Car X description line 179 with features on performance and comfort.,long-trip
180,Car Y description line 180 with features on performance and comfort.,climate
181,Car Z description line 181 with features on performance and comfort.,climate
182,Car A description line 182 with features on performance and comfort.,comfort
183,Car B description line 183 with features on performance and comfort.,climate
184,Car C description line 184 with features on performance and comfort.,city
185,Car D description line 185 with features on performance and comfort.,climate
186,Car E description line 186 with features on performance and comfort.,economy
187,Car F description line 187 with features on performance and comfort.,economy
188,Car G description line 188 with features on performance and comfort.,long-trip
189,Car H description line 189 with features on performance and comfort.,comfort
190,Car I description line 190 with features on performance and comfort.,comfort
191,Car J description line 191 with features on performance and comfort.,economy
192,Car K description line 192 with features on performance and comfort.,economy
193,Car L description line 193 with features on performance and comfort.,long-trip
194,Car M description line 194 with features on performance and comfort.,comfort
195,Car N description line 195 with features on performance and comfort.,long-trip
196,Car O description line 196 with features on performance and comfort.,long-trip
197,Car P description line 197 with features on performance and comfort.,economy
198,Car Q description line 198 with features on performance and comfort.,long-trip
199,Car R description line 199 with features on performance and comfort.,offroad
200,Car S description line 200 with features on performance and comfort.,comfort
